hydroID,hydroCode,lon,lat,easting,northing,projection,elevation,gw_bore_depth,gw_level,gw_level_std,gw_level_mean_Neil,gw_level_std_Neil,diff
30136749,574000038,134.491684,-28.991261,-723574.6577,6727581.794,53,182.0526375,65,59.2375,1.143664614,59.2375,1.320590146,0
30104017,574100032,134.47867,-28.203569,-734257.2516,6815843.499,53,186.1866455,65.23,59,0,59,,0
30182385,673800027,139.053105,-29.784946,-269363.2256,6678430.345,54,136.8203367,67.06,58.83,0,58.83,,0
30149236,603800025,135.823927,-29.841905,-583086.7189,6645741.141,53,151.4354349,88.4,57.9,0,58.74,0.72461484,0.84
30186068,574100018,134.465385,-28.102546,-736768.2764,6827045.385,53,192.4350669,555.04,58.58,0,58.665,0.120208153,0.085
30124710,704100039,140.8689251,-28.217877,-102245.9424,6863387.156,54,76.77603643,74.5,58.5,0,58.5,,0
30140084,704200001,140.996012,-27.597901,-93128.15071,6932906.294,54,72.16971877,182.88,58.5,0,58.5,,0
30110497,603700115,135.677925,-30.004722,-595508.3951,6626112.515,53,172.4114213,79.25,58.48,0,58.48,,0
30095504,704100138,140.655538,-28.146744,-123668.6834,6870208.347,54,59.54768,106,58,0,58,,0
30068582,603700128,135.666794,-30.184966,-594565.2794,6605836.159,53,158.4940127,58.83,57.31,0,57.31,,0
30157964,704100246,140.986071,-28.232084,-90636.50167,6862388.535,54,82.04429656,74.98,57.3,0,57.3,,0
30172304,603700012,135.674888,-30.171903,-593925.6957,6607376.986,53,162.58804,58.83,57.31,0,57.02,0.410121933,0.29
30066790,704500018,140.594994,-26.393485,-139659.0366,7064800.2,54,118.1887545,188,57,0,57,,0
30161707,593800203,135.258421,-29.981181,-636651.8043,6624577.94,53,187.8976371,67,57,0,57,,0
30161212,593700400,135.264662,-30.18467,-633670.5146,6601856.497,53,180.0722142,69,57,0,57,,0
30107742,694100008,140.2260337,-28.1808279,-165783.2838,6864121.866,54,36.35668208,3004.72,56.74,0,56.74,,0
30063546,574000007,134.326299,-28.936363,-740562.9005,6731976.6,53,190.5773269,76.4,56.69,0,56.695,0.007071068,0.005
30086367,593800017,135.257535,-29.983267,-636713.9069,6624335.383,53,187.6095174,61,55.3,3.2,56.61333333,3.926134656,1.313333333
30141917,613800018,136.043017,-29.968037,-560360.7564,6633715.42,53,127.4374859,68.58,56.39,0,56.39,0,0
30090390,593800018,135.226016,-29.84005,-641453.8381,6640054.162,53,194.93784,74.68,56.39,0,56.39,,0
30097207,673800079,139.054069,-29.776291,-269336.4161,6679400.55,54,132.9296,72.3,56.1,0,56.1,,0
30102939,704100358,140.727587,-28.027893,-117253.947,6883788.686,54,82.49524,71.1,56.1,0,56.1,,0
30139753,613800014,136.121351,-29.972584,-552685.3615,6633941.955,53,126.3106,73.15,56.1,0,56.1,,0
30068017,574100049,134.478742,-28.203569,-734250.0918,6815844.25,53,186.1699851,73,55.56666667,2.215601248,56.085,2.446133003,0.518333333
30136977,593800005,135.137823,-29.826895,-650219.2623,6640630.931,53,180.3853761,59.13,56.08,0,56.08,,0
30114536,593800049,135.030428,-29.519651,-664322.4718,6673953.486,53,180.901195,71,56,0,56,,0
30143794,704100133,140.863654,-28.074829,-103571.1044,6879258.092,54,79.79748,91,56,0,56,,0
30125105,573900056,134.422421,-29.127994,-728744.5554,6711502.143,53,181.6064601,79,55.95,0.15,55.95,0.212132034,0
30137073,613800037,136.323791,-29.943965,-533282.5241,6639014.931,53,111.2242,79,55.5,0,55.5,,0
30122140,593700019,135.336106,-30.091365,-627804.416,6613025.885,53,184.4810955,69.5,55.49,0,55.49,,0
30164342,704400028,140.842476,-26.78435,-112786.5425,7022572.127,54,70.90828864,85.95,55.47,0,55.47,,0
30155943,593700090,135.196153,-30.160414,-640620.1299,6603874.384,53,186.8359532,64.1,55.5,0,55.325,0.247487373,0.175
30077645,583900031,134.924541,-29.356798,-676620.0134,6691116.224,53,179.5627521,59.13,55.17,0,55.17,,0
30121982,703900020,140.721898,-29.02358,-112000.547,6773091.138,54,73.88418061,65.4,55,0,55,,0
30166173,593700092,135.211879,-30.187258,-638774.5675,6601029.104,53,188.8076441,63,55,0,55,,0
30153143,683700013,139.566812,-30.127676,-216998.0093,6643638.116,54,106.03936,141,54.95666667,18.1907565,54.95666667,22.27903574,0
30134722,593700091,135.196316,-30.16591,-640539.6353,6603260.615,53,187.1974609,64.5,54.9,0,54.9,,0
30121801,683800032,139.777562,-29.846006,-198599.8399,6676289.971,54,70.37131047,83.82,54.86,0,54.86,,0
30115015,704100027,140.9103161,-28.101984,-98820.11186,6876472.265,54,85.59292485,125.58,54.86,0,54.86,,0
30175225,593700028,135.419209,-30.054524,-620138.0235,6617984.257,53,180.7622,61.1,54.85,0,54.85,,0
30173930,673700028,139.430793,-30.495113,-227413.2722,6601876.194,54,86.64010074,67.06,54.56,0,54.56,,0
30081260,593800053,135.132667,-29.83337,-650646.9969,6639853.036,53,180.42884,64.3,54.43,0,54.43,,0
